Protein,INT_M.1,INT_M.2,POS_M.1,POS_M.2,pvalue,log2FC,imputed_log2FC,imputed_Pvalue,imputed_adjPvalue
Q8CFI0,15.83232141,15.8829057,16.0117514,16.17523765,0.681405725,-0.235880971,-0.235880971,0.681405725,0.997566344
Q8CFY5,14.08820853,14.34990318,13.68420071,13.61827078,0.264571331,0.567820109,0.567820109,0.264571331,0.996315489
Q8CGC7,15.99150441,15.91399337,15.76519098,16.03554536,0.922272432,0.052380718,0.052380718,0.922272432,0.997566344
Q8CGF7,13.21891131,13.92944336,13.34955769,13.25570726,0.805665186,0.27154486,0.27154486,0.805665186,0.997566344
Q8CGK3,15.70422788,16.15267859,14.8631182,14.73332427,0.193497987,1.130232001,1.130232001,0.193497987,0.988262249
Q8CGN5,18.21159535,17.80208717,17.20730524,17.20810097,0.195992728,0.799138155,0.799138155,0.195992728,0.988262249
Q8CHC4,13.85008914,13.91960824,14.05519769,13.68595328,0.976053688,0.014273205,0.014273205,0.976053688,0.997566344
Q8CHP5,15.67761603,15.82205316,15.52905888,15.25328477,0.58460743,0.358662769,0.358662769,0.58460743,0.997566344
Q8CHT0,16.27109316,16.32252817,15.36362401,15.24765638,0.097970293,0.991170469,0.991170469,0.097970293,0.988262249
Q8CHU3,15.44985795,15.85145626,15.95862068,15.47126241,0.939438488,-0.064284442,-0.064284442,0.939438488,0.997566344
Q8CI51,17.44903577,17.51952876,17.6470227,17.28843355,0.981287438,0.016554143,0.016554143,0.981287438,0.997566344
Q8CI94,16.90480971,16.96832692,17.30208166,17.22485578,0.577524029,-0.326900408,-0.326900408,0.577524029,0.997566344
Q8CI95,14.77802578,14.70902995,14.53600432,14.16624156,0.537244297,0.392404927,0.392404927,0.537244297,0.997566344
Q8CI95;S4R1M9,14.34144933,14.65826728,14.3934575,13.88369336,0.592226738,0.361282876,0.361282876,0.592226738,0.997566344
Q8CIB5,16.14831162,16.40638772,16.11768641,15.85907733,0.610377971,0.288967802,0.288967802,0.610377971,0.997566344
Q8CIE6,16.47802214,16.55166945,16.73245268,16.91743969,0.591973277,-0.310100389,-0.310100389,0.591973277,0.997566344
Q8CIN4,17.01413651,17.00817375,17.08869609,16.49079312,0.677510046,0.221410527,0.221410527,0.677510046,0.997566344
Q8CIN4;O88643,17.0558967,17.14240626,16.87843415,16.65745802,0.403558981,0.331205395,0.331205395,0.403558981,0.997566344
Q8JZQ2,16.36037452,16.48743158,15.08387623,15.05614382,0.11373958,1.353893026,1.353893026,0.11373958,0.988262249
Q8JZQ2;Q920A7,14.02842411,14.42986438,12.95851647,12.84766422,0.064246253,1.326053904,1.326053904,0.064246253,0.988262249
Q8JZQ9,15.70698611,15.8329785,15.73045255,15.11018775,0.572108415,0.349662155,0.349662155,0.572108415,0.997566344
Q8JZR0,16.84801019,17.05009105,15.46556395,15.3963377,0.148999934,1.518099795,1.518099795,0.148999934,0.988262249
Q8JZU2,18.09475444,18.49077699,17.66368726,18.20140117,0.546534862,0.360221499,0.360221499,0.546534862,0.997566344
Q8JZX4,15.37964912,15.35686458,14.8772362,14.64182597,0.485699678,0.608725765,0.608725765,0.485699678,0.997566344
Q8K010,15.47527612,15.52426529,15.25641463,15.20695556,0.541947092,0.26808561,0.26808561,0.541947092,0.997566344
Q8K0C9,14.31922183,14.70389451,15.3416578,14.84051087,0.301867266,-0.579526163,-0.579526163,0.301867266,0.997566344
Q8K0D5,15.72015831,15.92509077,14.70399381,14.56012457,0.110840246,1.190565353,1.190565353,0.110840246,0.988262249
Q8K0E8,16.25919177,16.48068769,17.07701459,17.02054899,0.292180709,-0.678842063,-0.678842063,0.292180709,0.996315489
