"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044853","GO:0044853","plasma membrane raft","2/282","282/31010",0.728491791519996,0.854384837923957,0.708394061724982,"P70302/Q9Z2V5",2
"GO:0005798","GO:0005798","Golgi-associated vesicle","1/282","143/31010",0.730013207818968,0.854384837923957,0.708394061724982,"P14142",1
"GO:0090734","GO:0090734","site of DNA damage","1/282","143/31010",0.730013207818968,0.854384837923957,0.708394061724982,"P97807",1
"GO:0000118","GO:0000118","histone deacetylase complex","1/282","144/31010",0.732479799175273,0.854384837923957,0.708394061724982,"Q9Z2V5",1
"GO:0072686","GO:0072686","mitotic spindle","2/282","286/31010",0.735613440870954,0.854384837923957,0.708394061724982,"P48193/Q3UJU9",2
"GO:0043198","GO:0043198","dendritic shaft","1/282","146/31010",0.737345819030264,0.854384837923957,0.708394061724982,"P23819",1
"GO:0032589","GO:0032589","neuron projection membrane","1/282","153/31010",0.753692685632703,0.867244279427853,0.719056179770751,"P10637",1
"GO:0043296","GO:0043296","apical junction complex","2/282","297/31010",0.754383722516009,0.867244279427853,0.719056179770751,"P39447/Q811D0",2
"GO:0001725","GO:0001725","stress fiber","1/282","175/31010",0.798753589540104,0.903206415924621,0.748873380182635,"Q80UG5",1
"GO:0097517","GO:0097517","contractile actin filament bundle","1/282","175/31010",0.798753589540104,0.903206415924621,0.748873380182635,"Q80UG5",1
"GO:0098802","GO:0098802","plasma membrane signaling receptor complex","2/282","328/31010",0.801216316949717,0.903206415924621,0.748873380182635,"P23819/Q9Z2W8",2
"GO:0030117","GO:0030117","membrane coat","1/282","178/31010",0.804224890891786,0.903206415924621,0.748873380182635,"Q9D2N9",1
"GO:0030864","GO:0030864","cortical actin cytoskeleton","1/282","178/31010",0.804224890891786,0.903206415924621,0.748873380182635,"Q8VCB3",1
"GO:0048475","GO:0048475","coated membrane","1/282","178/31010",0.804224890891786,0.903206415924621,0.748873380182635,"Q9D2N9",1
"GO:0034705","GO:0034705","potassium channel complex","1/282","180/31010",0.807789822758401,0.903734207836985,0.749310987031387,"Q9Z2W8",1
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","2/282","337/31010",0.813250199423052,0.906370451265387,0.751496769253925,"P10637/Q811D0",2
"GO:0005902","GO:0005902","microvillus","1/282","189/31010",0.823048189014358,0.913802552061569,0.75765892925076,"Q811D0",1
"GO:0032432","GO:0032432","actin filament bundle","1/282","192/31010",0.827861156509293,0.913920114786608,0.757756403752414,"Q80UG5",1
"GO:0030135","GO:0030135","coated vesicle","2/282","352/31010",0.831869468544849,0.913920114786608,0.757756403752414,"P14142/P63038",2
"GO:0099699","GO:0099699","integral component of synaptic membrane","1/282","195/31010",0.832543666209718,0.913920114786608,0.757756403752414,"P23819",1
